book_id,book_title,review_id,reviewer,review_content,rating,created_at,
98710881,데미안 (오리지널 초판본 표지디자인),12965253,[],오리지널표지를 예쁘게 뽑아놓은 다른 출판사의 것보다 훨씬 정성스럽고 매끄러운 번역,5,2021-09-23,
98710881,데미안 (오리지널 초판본 표지디자인),16572456,배부인,초판본이라는것 자체가소장하고싶은 느낌이 뿜뿜합니다헤르만헤세의 데미안은어려운듯한 책이지만뭔가 더 생각하게 되는 책이랍니다그게 헤르만헤세의 힘인것 같습니다,5,2025-07-05,
98710881,데미안 (오리지널 초판본 표지디자인),17180727,yuruyun,범우사에서 나온 아주 오래된 버전이 있는데 그것보다 번역이 별로다. 문학적 느낌은 없고 지나치게 간결화 되었다.,1,2026-03-29,
98710881,데미안 (오리지널 초판본 표지디자인),16239331,Dong,"‘철 좀 들어라.’ 라는 말. 당연하게도 몸만 자란다고 어른이 될수 없습니다. 우리는 몸이 커지는 만큼 정신도 커져야하고, 거기에는 경험이라는 외적자극과 더불어 내면에서의 진중한 고뇌와 성찰, 내적갈등이 수반됩니다. 데미안은 최고의 성장소설입니다.",5,2025-02-19,
98710881,데미안 (오리지널 초판본 표지디자인),17160237,전승준우승,이북 810원... 완전 거저주시는데 안읽고 배김? 이미 읽었어도 또 읽고 10년후에 또 읽고 20년후에 또 읽어야지. 다소 의역이 있다고는 하지만 술술 읽히게 번역 잘된 작품입니다.,5,2026-03-19,
98710881,데미안 (오리지널 초판본 표지디자인),15203781,안심해,내 인생 최고의 고전 명작이자 최고의 책 [데미안]이 이번 독서모임 선정된 책이라 진짜 오랜만에 재독을 하게 되었다. 누군가가 나에게 제일 좋아하는 작가나 책이 무엇이냐 물으면 한치의 망설임도 없이 나는 ‘헤르만 헤세’와 [데미안]을 꼽는다. 그 정도로 나에게 있어 이 책은 정말 인생책이다. 그런 책이 독서모임으로 선정이 되었으니 어떻게든 참여를 할 수 밖에 없었고 또 오랜만에 다시 읽어보고 싶기도 했다. 내가 소장한 [데미안]은 민음사에서 출판한 것인데 이 책은 본가에 있어서 한동안 본가를 갈 일이 없어서 도서관에서 대여를 했는데...+ 더보기,5,2024-01-06,
98710881,데미안 (오리지널 초판본 표지디자인),16538354,물야기,"* 컬처블룸으로부터 책을 증정 받아 직접 읽고 주관적으로 작성했습니다.?『데미안』은 그 유명한 헤르만 헤세가 에밀 싱클레어라는 이름으로 출판했던 책으로, 전쟁 상황 당시에 암울한 세계관 속에서 전쟁에 반대하고 자신의 생각을 자유롭게 표현하기 어려웠던 헤르만 헤세가 이름을 바꾸어 출판했지만, 그의 수려하고 수준 높은 문체로 인해 많은 사람들이 그가 쓴 작품임을 단번에 알아차렸던 작품이다.??이 책은 에밀 싱클레어라는 작가가 자신의 유년기 이야기를 마치 일기나 자서전처럼 풀어낸 소설이며, 여러 사람을 만나며 선과 악을 체험하고, 소년 ...+ 더보기",5,2025-06-22,
98710881,데미안 (오리지널 초판본 표지디자인),16532912,dae1802,"이 리뷰는 컬처블룸을 통해 출판사에서 도서를 제공 받아, 직접 읽고 작성한 리뷰입니다.'??? 요즘 읽고 있는 책, 《데미안》! 소년 싱클레어의 성장 이야기. 어른이 되는 과정에서 만나는 데미안과의 관계가 너무 매력적이야. 세상은 단순히 선과 악으로 나눌 수 없다는 깨달음! ????헤르만 헤세, 그의 삶도 정말 흥미로워. 목사의 아들로 태어나 시인이 되기 위해 도망친 그. 대단해! ?이 책을 읽게 된 계기는… 그냥 책 제목이 너무 멋져서! ????읽으면서 감명 깊었던 부분? 각자의 내면에 신과 악마가 공존한다는 거. 너무 공감돼서...+ 더보기",5,2025-06-19,
98710881,데미안 (오리지널 초판본 표지디자인),16574552,잔디는푸르니,"헤르만헤세의 가장 유명한 소설 <데미안>을 읽었다. 성장소설의 대표격인 이 책이 왜 많은 사람들에게 울림을 주고, 필수로 읽어야하는 책으로 평가받는지도 알 수 있었다. 주인공 싱클레어가 담고 있는 세계, 따뜻한 사랑이 존재하고 선한 세계, 그리고 궁금해하는 세계 규율밖의 어두운 세계. 간극에서 고민하던 싱클레어가 데미안을 만나게 되면서 자신의 이분법적 세계에서 벗어나 세상을 크게 보게 되는 성장소설이다.?데미안은 싱클레어를 성장으로 이끄는 인물이다. 데미안은 말한다. 진짜 죄는 자기 자신을 부정하는 일이라고. 자신을 다스...+ 더보기",5,2025-07-06,
98710881,데미안 (오리지널 초판본 표지디자인),14449597,rainbass,오오~ 작가의 철학을 이렇게얇은 책으로도 녹여낼 수도 있군요.왜 청소년들 필독서인지 알겠어요.본인의 기존세계가다 부숴지는 경험을 할듯해요.저는 우선.보고싶은 마음을 집중하면상대방을 호출할수 있다는 마법같은내용이 매력적이네요해보신분????^^,5,2023-03-24,
